# INIT TIME STEP TEST ..................................................  
# VDS       : 0.0 	 Current compliance 0.001
# VGS       : 0.0 	 Current compliance 0.001
# NPLC      : 1.0
# DELETE    : 0.0
# :: ----------------------------------- TIME --------------------------------------
# ::     Time 	 IDS 	 IGS 	 VDS 	 VGS 	 XPIN 	 | Shutter | 	 Delta Time	     
# :: -------------------------------------------------------------------------------
20.8000 -1.060405E-06 +5.003747E-09 0.0 0.0 -1.222894E-13 | 0 | 0.1000
20.9000 -1.059441E-06 +5.381003E-09 0.0 0.0 +5.465309E-13 | 0 | 0.1000
21.0000 -1.059903E-06 +5.339088E-09 0.0 0.0 -6.274900E-13 | 0 | 0.1000
21.2000 -1.059483E-06 +5.339087E-09 0.0 0.0 +4.636868E-13 | 0 | 0.2000
21.3000 -1.060741E-06 +5.003740E-09 0.0 0.0 -2.920374E-13 | 0 | 0.1000
21.4000 -1.060530E-06 +5.842113E-09 0.0 0.0 -4.549860E-14 | 0 | 0.1000
21.5000 -1.059106E-06 +5.548682E-09 0.0 0.0 +5.485515E-13 | 0 | 0.1000
21.7000 -1.059609E-06 +5.339092E-09 0.0 0.0 -4.557222E-13 | 0 | 0.2000
21.8000 -1.061285E-06 +6.135542E-09 0.0 0.0 +3.464939E-13 | 0 | 0.1000
21.9000 -1.060195E-06 +6.135545E-09 0.0 0.0 -2.112049E-13 | 0 | 0.1000
22.0000 -1.060740E-06 +6.387051E-09 0.0 0.0 -2.394960E-13 | 0 | 0.1000
22.2000 -1.059148E-06 +5.213339E-09 0.0 0.0 +5.283453E-13 | 0 | 0.2000
22.3000 -1.060280E-06 +5.464847E-09 0.0 0.0 -5.587831E-13 | 0 | 0.1000
22.4000 -1.060238E-06 +5.842121E-09 0.0 0.0 +3.485144E-13 | 0 | 0.1000
22.5000 -1.060572E-06 +6.303217E-09 0.0 0.0 -2.940581E-13 | 0 | 0.1000
22.7000 -1.059400E-06 +5.381008E-09 0.0 0.0 -2.071632E-13 | 0 | 0.2000
22.8000 -1.059860E-06 +5.590601E-09 0.0 0.0 +5.424896E-13 | 0 | 0.1000
22.9000 -1.059566E-06 +6.554714E-09 0.0 0.0 -5.951580E-13 | 0 | 0.1000
23.0000 -1.060028E-06 +5.045659E-09 0.0 0.0 +4.475221E-13 | 0 | 0.1000
23.2000 -1.060196E-06 +5.171419E-09 0.0 0.0 -1.990802E-13 | 0 | 0.2000
23.3000 -1.059525E-06 +5.506758E-09 0.0 0.0 -2.556622E-13 | 0 | 0.1000
23.4000 -1.060572E-06 +5.967865E-09 0.0 0.0 +5.323872E-13 | 0 | 0.1000
23.5000 -1.059526E-06 +4.877994E-09 0.0 0.0 -5.486790E-13 | 0 | 0.1000
23.7000 -1.059610E-06 +5.045656E-09 0.0 0.0 +4.212548E-13 | 0 | 0.2000
23.8000 -1.060489E-06 +6.890079E-09 0.0 0.0 -1.748304E-13 | 0 | 0.1000
23.9000 -1.060908E-06 +4.710315E-09 0.0 0.0 -3.688270E-13 | 0 | 0.1000
24.1000 -1.060657E-06 +5.800198E-09 0.0 0.0 +4.859136E-13 | 0 | 0.2000
24.2000 -1.059902E-06 +6.806240E-09 0.0 0.0 -5.042218E-13 | 0 | 0.1000
24.3000 -1.059902E-06 +4.961822E-09 0.0 0.0 +2.919389E-13 | 0 | 0.1000
24.4000 -1.060531E-06 +5.674445E-09 0.0 0.0 -7.176918E-14 | 0 | 0.1000
24.6000 -1.059860E-06 +5.003745E-09 0.0 0.0 -4.860342E-13 | 0 | 0.2000
24.7000 -1.060824E-06 +5.590590E-09 0.0 0.0 +5.323871E-13 | 0 | 0.1000
24.8000 -1.059986E-06 +4.919903E-09 0.0 0.0 -5.022009E-13 | 0 | 0.1000
24.9000 -1.060572E-06 +5.800199E-09 0.0 0.0 +3.485145E-13 | 0 | 0.1000
25.1000 -1.060111E-06 +5.045665E-09 0.0 0.0 -1.485599E-13 | 0 | 0.2000
25.2000 -1.060907E-06 +5.884040E-09 0.0 0.0 -4.132850E-13 | 0 | 0.1000
25.3000 -1.059902E-06 +5.800195E-09 0.0 0.0 +4.697493E-13 | 0 | 0.1000
25.4000 -1.060112E-06 +4.877982E-09 0.0 0.0 -5.062423E-13 | 0 | 0.1000
25.6000 -1.059735E-06 +5.381012E-09 0.0 0.0 +3.606379E-13 | 0 | 0.2000
25.7000 -1.060237E-06 +6.009792E-09 0.0 0.0 -1.316569E-14 | 0 | 0.1000
25.8000 -1.060195E-06 +5.884034E-09 0.0 0.0 -4.334927E-13 | 0 | 0.1000
26.0000 -1.060278E-06 +5.129499E-09 0.0 0.0 +4.818728E-13 | 0 | 0.2000
26.1000 -1.060573E-06 +5.464842E-09 0.0 0.0 -5.648461E-13 | 0 | 0.1000
26.2000 -1.059860E-06 +5.045662E-09 0.0 0.0 +3.303295E-13 | 0 | 0.1000
26.3000 -1.059609E-06 +6.345136E-09 0.0 0.0 -4.549868E-14 | 0 | 0.1000
26.5000 -1.059777E-06 +5.045663E-09 0.0 0.0 -4.355134E-13 | 0 | 0.2000
26.6000 -1.061787E-06 +5.422934E-09 0.0 0.0 +5.626949E-13 | 0 | 0.1000
26.7000 -1.058603E-06 +5.129492E-09 0.0 0.0 -4.456190E-13 | 0 | 0.1000
26.8000 -1.058897E-06 +5.716357E-09 0.0 0.0 +3.121442E-13 | 0 | 0.1000
27.0000 -1.060405E-06 +5.003745E-09 0.0 0.0 +5.351302E-14 | 0 | 0.2000
27.1000 -1.060238E-06 +4.794142E-09 0.0 0.0 -4.920959E-13 | 0 | 0.1000
27.2000 -1.060573E-06 +5.381001E-09 0.0 0.0 +5.667357E-13 | 0 | 0.1000
27.3000 -1.059902E-06 +5.171422E-09 0.0 0.0 -5.648465E-13 | 0 | 0.1000
27.5000 -1.060070E-06 +5.548689E-09 0.0 0.0 +3.202268E-13 | 0 | 0.2000
27.6000 -1.060447E-06 +6.009792E-09 0.0 0.0 +2.131376E-13 | 0 | 0.1000
27.7000 -1.059693E-06 +6.387049E-09 0.0 0.0 -5.668657E-13 | 0 | 0.1000
27.8000 -1.060405E-06 +6.470892E-09 0.0 0.0 +4.818721E-13 | 0 | 0.1000
28.0000 -1.061201E-06 +6.470898E-09 0.0 0.0 -4.213690E-13 | 0 | 0.2000
28.1000 -1.059148E-06 +5.716363E-09 0.0 0.0 +2.272809E-13 | 0 | 0.1000
28.2000 -1.059693E-06 +5.422933E-09 0.0 0.0 +2.697132E-13 | 0 | 0.1000
28.3000 -1.059609E-06 +5.590602E-09 0.0 0.0 -5.587823E-13 | 0 | 0.1000
28.5000 -1.058812E-06 +6.261298E-09 0.0 0.0 +5.424887E-13 | 0 | 0.2000
28.6000 -1.060698E-06 +4.542642E-09 0.0 0.0 -4.334942E-13 | 0 | 0.1000
28.7000 -1.059526E-06 +5.297180E-09 0.0 0.0 +1.606025E-13 | 0 | 0.1000
28.8000 -1.059441E-06 +4.500716E-09 0.0 0.0 +2.495080E-13 | 0 | 0.1000
29.0000 -1.061368E-06 +5.297180E-09 0.0 0.0 -6.456765E-13 | 0 | 0.2000
29.1000 -1.060615E-06 +3.997707E-09 0.0 0.0 +5.162218E-13 | 0 | 0.1000
29.2000 -1.059484E-06 +5.129499E-09 0.0 0.0 -4.254104E-13 | 0 | 0.1000
29.3000 -1.060195E-06 +5.213344E-09 0.0 0.0 +2.191987E-13 | 0 | 0.1000
29.5000 -1.060907E-06 +6.009794E-09 0.0 0.0 +4.212559E-13 | 0 | 0.2000
29.6000 -1.059441E-06 +5.339088E-09 0.0 0.0 -6.295103E-13 | 0 | 0.1000
29.7000 -1.060907E-06 +5.339088E-09 0.0 0.0 +4.737899E-13 | 0 | 0.1000
29.9000 -1.059944E-06 +5.632522E-09 0.0 0.0 -4.658269E-13 | 0 | 0.2000
30.0000 -1.059818E-06 +5.716360E-09 0.0 0.0 -5.560269E-14 | 0 | 0.1000
30.1000 -1.060362E-06 +5.758266E-09 0.0 0.0 +4.010501E-13 | 0 | 0.1000
30.2000 -1.060656E-06 +4.836072E-09 0.0 0.0 -5.385749E-13 | 0 | 0.1000
30.4000 -1.061285E-06 +5.506757E-09 0.0 0.0 +4.697485E-13 | 0 | 0.2000
30.5000 -1.060740E-06 +4.794153E-09 0.0 0.0 -4.375353E-13 | 0 | 0.1000
30.6000 -1.060614E-06 +4.794153E-09 0.0 0.0 -2.124892E-14 | 0 | 0.1000
30.7000 -1.060657E-06 +4.542641E-09 0.0 0.0 +5.384486E-13 | 0 | 0.1000
30.9000 -1.061411E-06 +5.506766E-09 0.0 0.0 -5.830324E-13 | 0 | 0.2000
31.0000 -1.060698E-06 +5.381015E-09 0.0 0.0 +4.778306E-13 | 0 | 0.1000
31.1000 -1.060740E-06 +5.674440E-09 0.0 0.0 -3.688282E-13 | 0 | 0.1000
31.2000 -1.061243E-06 +5.213330E-09 0.0 0.0 -6.570668E-14 | 0 | 0.1000
31.4000 -1.059819E-06 +6.219377E-09 0.0 0.0 +4.374204E-13 | 0 | 0.2000
31.5000 -1.060573E-06 +5.255265E-09 0.0 0.0 -6.012198E-13 | 0 | 0.1000
31.6000 -1.060489E-06 +5.590606E-09 0.0 0.0 +3.262884E-13 | 0 | 0.1000
31.7000 -1.060656E-06 +4.752219E-09 0.0 0.0 -3.284118E-13 | 0 | 0.1000
31.9000 -1.060070E-06 +5.506772E-09 0.0 0.0 -1.041020E-13 | 0 | 0.2000
32.0000 -1.060949E-06 +5.213331E-09 0.0 0.0 +4.313590E-13 | 0 | 0.1000
32.1000 -1.060488E-06 +5.087577E-09 0.0 0.0 -5.628247E-13 | 0 | 0.1000
32.3000 -1.059609E-06 +5.800191E-09 0.0 0.0 +4.960152E-13 | 0 | 0.2000
32.4000 -1.059274E-06 +6.051704E-09 0.0 0.0 -2.597044E-13 | 0 | 0.1000
